,Date,total_profit,total_spending,total_revenue,Close,High,Low,Open,Volume,Company
0,2013-01-01,39500000,19750000,28250000,15.519032112757364,15.62380859071656,15.408778171328432,15.518720860483963,622893,TECH
1,2013-04-01,39500000,19750000,28250000,15.067700430750849,15.174956530288997,14.958537577061517,15.064461129761272,548594,TECH
2,2013-07-01,39500000,19750000,28250000,17.292753517627716,17.44607906079844,17.093138590580384,17.27170749753244,530588,TECH
3,2013-10-01,39500000,19750000,28250000,19.493110360039605,19.666073179727896,19.304912825719693,19.485270999150146,838649,TECH
4,2014-01-01,40000000,26500000,27750000,20.655941009521484,20.914174084543067,20.431640516844265,20.708444720850736,1026413,TECH
5,2014-04-01,40000000,26500000,27750000,20.36211322602772,20.55827310570208,20.13053986264393,20.34967531894172,812825,TECH
6,2014-07-01,40000000,26500000,27750000,21.65894114971161,21.82057961383064,21.45633161838745,21.663937992070142,626225,TECH
7,2014-10-01,40000000,26500000,27750000,21.14375720553928,21.395974493197837,20.92945726120563,21.180764705337573,801938,TECH
8,2015-01-01,36750000,36250000,27000000,22.12941297937612,22.32869374550561,21.86567901733776,22.10290448174445,786466,TECH
9,2015-04-01,36750000,36250000,27000000,23.318813596452987,23.515703461472093,23.08610160955899,23.339130884448675,696762,TECH
10,2015-07-01,36750000,36250000,27000000,23.487637609243396,23.777802500498268,23.251812009550605,23.519516670811363,931050,TECH
11,2015-10-01,36750000,36250000,27000000,21.516360388861763,21.77813873635953,21.20226529552264,21.49340718412517,984951,TECH
12,2016-01-01,37750000,40500000,26000000,20.780162811279297,21.15665192166962,20.456175215871816,20.766629919988077,1020531,TECH
13,2016-04-01,37750000,40500000,26000000,24.33770036697388,24.566752713210345,24.021701960065784,24.26212145093225,906275,TECH
14,2016-07-01,37750000,40500000,26000000,26.06731867790222,26.32184603829564,25.797875922874795,26.06966548810672,686606,TECH
15,2016-10-01,37750000,40500000,26000000,25.033307378942315,25.347351110855776,24.805907091802517,25.114958322765265,638709,TECH
16,2017-01-01,30250000,47000000,19000000,24.662548126712924,24.859578741819146,24.4207935540399,24.639292443543862,825284,TECH
17,2017-04-01,30250000,47000000,19000000,26.192031830076186,26.387981140342763,25.90211650250928,26.151319851473502,651740,TECH
18,2017-07-01,30250000,47000000,19000000,28.51637131827218,28.768138241736445,28.27253276016242,28.537991107404377,584889,TECH
19,2017-10-01,30250000,47000000,19000000,30.441135103052314,30.712331592192943,30.095174469966693,30.40632155726487,578955,TECH
20,2018-01-01,34000000,52750000,31500000,34.124324016883726,34.42687577987009,33.71632733059332,34.0633295473496,733121,TECH
21,2018-04-01,34000000,52750000,31500000,36.96410644054413,37.33602880119714,36.59399787519159,37.00070701475005,738319,TECH
22,2018-07-01,34000000,52750000,31500000,42.95912358117482,43.30082951508604,42.48968836100934,42.77901203328923,826921,TECH
23,2018-10-01,34000000,52750000,31500000,42.35447667439779,43.18667778226662,41.787438654514986,42.50268286335604,1084996,TECH
24,2019-01-01,36750000,60250000,24000000,43.80287476836658,44.19566665024899,43.1631032878619,43.61700750481247,822472,TECH
25,2019-04-01,36750000,60250000,24000000,49.12761954655723,49.6986512188429,48.48430141878126,49.1231227925602,619562,TECH
26,2019-07-01,36750000,60250000,24000000,48.959119498729706,49.56606682503573,48.36589028288164,49.01125212099667,668956,TECH
27,2019-10-01,36750000,60250000,24000000,50.4265640258789,50.92471502041951,49.895656131358805,50.369805646090086,492853,TECH
28,2020-01-01,39250000,64000000,57250000,48.999357346565496,49.88694086835792,48.06821141784962,48.893020434578325,869839,TECH
29,2020-04-01,39250000,64000000,57250000,58.75144455924867,59.71925873818608,57.41712812494674,58.6114536362924,1118571,TECH
30,2020-07-01,39250000,64000000,57250000,63.88586890697479,64.88990478973167,63.05450514437767,64.12075534534517,656881,TECH
31,2020-10-01,39250000,64000000,57250000,68.8510139465332,69.71364927980873,67.92321392238406,68.77141767691523,651396,TECH
32,2021-01-01,59250000,74500000,35000000,89.78916931152344,91.52595637867292,88.19208143754241,89.82722810695608,806400,TECH
33,2021-04-01,59250000,74500000,35000000,103.67457713778056,105.12433338292983,102.12756307680442,103.56431764430474,1036616,TECH
34,2021-07-01,59250000,74500000,35000000,119.9646542072296,121.38367606168173,118.41361613113476,119.93729784852462,1365031,TECH
35,2021-10-01,59250000,74500000,35000000,121.79246029324,123.5335795185709,120.17566849137516,122.03699828520168,709716,TECH
36,2022-01-01,74250000,87250000,68000000,101.83904573994296,104.00206206167736,99.9110778361466,102.14931244459235,1079955,TECH
37,2022-04-01,74250000,87250000,68000000,92.57956191032164,94.23988907923471,91.05845909731636,92.84540208051708,1042587,TECH
38,2022-07-01,74250000,87250000,68000000,85.43869185447693,86.64452393880774,84.12092801182132,85.57649367733778,869700,TECH
39,2022-10-01,74250000,87250000,68000000,77.19457747719504,78.49365482651181,75.56867044757799,76.84998740597142,1359577,TECH
40,2023-01-01,74750000,91750000,71250000,76.35599394767515,77.52800052408281,75.29654895461523,76.37254480157519,982908,TECH
41,2023-04-01,74750000,91750000,71250000,79.71732084212765,80.57629646768329,78.46508461577919,79.60171889690346,1108297,TECH
42,2023-07-01,74750000,91750000,71250000,78.41558559357173,79.47288563832525,77.5388475029277,78.61908946453465,814286,TECH
43,2023-10-01,74750000,91750000,71250000,62.28946382349188,63.434735718974345,61.30896188180847,62.47131356442341,1222107,TECH
0,2012-01-01,71750000,192750000,54250000,14.993161432204708,15.176671499918871,14.784031413789863,14.965754190339974,4057150,TER
1,2012-04-01,71750000,192750000,54250000,14.148004138280475,14.369206494056076,13.956266249738768,14.191394233079638,3066117,TER
2,2012-07-01,71750000,192750000,54250000,13.69401971120683,13.860984104864574,13.490994308745355,13.68610389360816,2986386,TER
3,2012-10-01,71750000,192750000,54250000,13.657832855402036,13.822346240021428,13.467117526894684,13.626046879459487,3335851,TER
4,2013-01-01,47750000,154750000,41250000,15.504632170995077,15.652085830890492,15.32931957938829,15.5001686775671,2711065,TER
5,2013-04-01,47750000,154750000,41250000,15.342074677348135,15.529373666095308,15.13255353841514,15.342363195716237,2571573,TER
6,2013-07-01,47750000,154750000,41250000,15.328366056084633,15.473818791983852,15.162134618155315,15.34452754124372,2330338,TER
7,2013-10-01,47750000,154750000,41250000,15.582669152153862,15.736587177799718,15.399814252938988,15.561325787640278,2233440,TER
8,2014-01-01,24000000,192250000,20250000,17.85944444625104,18.051715889488708,17.661268737323116,17.839611828377354,3417172,TER
